Date,Age,Gender,Country,state,work_interfere,benefits,leave,supervisor,tech_company
2014-08-27,37,Female,United States,IL,Often,Yes,Somewhat easy,Yes,Yes
2014-08-27,44,Male,United States,IN,Rarely,Don't know,Don't know,No,No
2014-08-27,32,Male,Canada,,Rarely,No,Somewhat difficult,Yes,Yes
2014-08-27,31,Male,United Kingdom,,Often,No,Somewhat difficult,No,Yes
2014-08-27,31,Male,United States,TX,Never,Yes,Don't know,Yes,Yes
2014-08-27,33,Male,United States,TN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,35,Female,United States,MI,Sometimes,No,Somewhat difficult,No,Yes
2014-08-27,39,Male,Canada,,Never,No,Don't know,No,Yes
2014-08-27,42,Female,United States,IL,Sometimes,Yes,Very difficult,Yes,Yes
2014-08-27,23,Male,Canada,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,31,Male,United States,OH,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,29,Male,Bulgaria,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,42,Female,United States,CA,Sometimes,Yes,Somewhat difficult,Yes,No
2014-08-27,36,Male,United States,CT,Never,Don't know,Don't know,Yes,Yes
2014-08-27,27,Male,Canada,,Never,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,29,Female,United States,IL,Rarely,Yes,Somewhat easy,Some of them,Yes
2014-08-27,23,Male,United Kingdom,,Sometimes,Don't know,Very easy,No,Yes
2014-08-27,32,Male,United States,TN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,46,Male,United States,MD,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,36,Male,France,,,No,Somewhat easy,Some of them,Yes
2014-08-27,29,Male,United States,NY,Sometimes,Yes,Somewhat difficult,Some of them,Yes
2014-08-27,31,Male,United States,NC,Never,No,Somewhat difficult,Some of them,Yes
2014-08-27,46,Male,United States,MA,Often,Yes,Don't know,Yes,Yes
2014-08-27,41,Male,United States,IA,Never,Don't know,Don't know,No,No
2014-08-27,33,Male,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,35,Male,United States,TN,Sometimes,Yes,Very easy,Yes,No
2014-08-27,33,Male,United States,TN,,Don't know,Don't know,No,Yes
2014-08-27,35,Female,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,34,Male,United States,OH,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,37,Male,United Kingdom,,Sometimes,No,Very difficult,No,Yes
2014-08-27,32,Male,United Kingdom,,Never,No,Don't know,Some of them,Yes
2014-08-27,31,Male,United States,PA,Rarely,No,Somewhat difficult,No,Yes
2014-08-27,30,Male,United Kingdom,,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,42,Male,United States,WA,Sometimes,Yes,Very easy,Some of them,Yes
